GHO_DISPLAY,STARTYEAR,DIMENSION_TYPE,DIMENSION_NAME,Numeric
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Secondary education,23.3999996185303
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2015,WEALTHQUINTILE,Total,7.30000019073486
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Higher education,9.19999980926514
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2016,RESIDENCEAREATYPE,Rural,1.70000004768372
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Higher education,10.6999998092651
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2014,WEALTHQUINTILE,Total,33.5999984741211
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2011,RESIDENCEAREATYPE,Rural,41.2999992370605
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2003,WEALTHQUINTILE,Q5 (Richest),13.8999996185303
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2014,WEALTHQUINTILE,Total,20.6000003814697
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Secondary education,16.1000003814697
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Total,11.6999998092651
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2011,EDUCATIONLEVEL,None and primary education,46.2000007629395
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2011,EDUCATIONLEVEL,Primary,31.7000007629395
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2020,EDUCATIONLEVEL,Total,1.60000002384186
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q4,32.2000007629395
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2018,WEALTHQUINTILE,Q4,14.3000001907349
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Secondary or higher,7
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2021,RESIDENCEAREATYPE,Total,24.3999996185303
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,RESIDENCEAREATYPE,Urban,10.5
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2011,EDUCATIONLEVEL,Primary,20.6000003814697
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Secondary education,6.40000009536743
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Primary,37.9000015258789
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2003,RESIDENCEAREATYPE,Total,11.1999998092651
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2003,RESIDENCEAREATYPE,Rural,29.5
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2003,EDUCATIONLEVEL,Higher education,3.59999990463257
